Src,Dst,Weight
0,1,0.04359125434134381
0,2,0.2821188406213754
0,3,0.37029320604379456
0,4,0.7305698525159138
0,5,0.8211874242825844
0,6,0.05924861185261898
0,7,0.12896455296297726
0,8,0.5208267297835438
0,10,0.9413122551012707
0,11,0.8048572810256593
0,12,0.5621833906472039
0,13,0.14008762160407984
0,17,0.33702216112010785
0,19,0.09371783650768384
0,21,0.14786654666294596
0,31,0.5499769700645563
1,0,0.5330113687925733
1,2,0.8023929059582636
1,3,0.5266950364490954
1,7,0.2724180471079588
1,13,0.826063455330629
1,17,0.8021199642156753
1,19,0.5613542198196352
1,21,0.7074185090947647
1,30,0.4958120584913166
2,0,0.001600437458262105
2,1,0.7004408202629333
2,3,0.9994299489730701
2,7,0.8923335250555215
2,8,0.5913797442304087
2,9,0.7833187255600819
2,13,0.03703235987158948
2,27,0.3244839061480306
2,28,0.22713173684947352
2,32,0.46326384715748326
3,0,0.21465044510894749
3,1,0.2376698978253381
3,2,0.7345230781771848
3,7,0.10599066382720645
3,12,0.036516235338886815
3,13,0.17857317329286804
4,0,0.09778614842949518
4,6,0.6268065702222853
4,10,0.5526555268289542
5,0,0.9899828294387318
5,6,0.930495386398024
5,10,0.969287479121402
5,16,0.6085361605999917
6,0,0.2851254895115085
6,4,0.723718025175739
6,5,0.8807364405626964
6,16,0.3584454232276528
7,0,0.42283491546107876
7,1,0.5871825441362317
7,2,0.40460652596031865
7,3,0.4230277091739645
8,0,0.22688677761158027
8,2,0.24521940175099155
8,30,0.9185538885903788
8,32,0.7827510653248937
8,33,0.6701693771258247
9,2,0.984226898042839
9,33,0.6230202384917407
10,0,0.8770212847985865
10,4,0.7704972064010412
10,5,0.07921134661153661
11,0,0.20612624458353113
12,0,0.12960919847451668
12,3,0.25257151768245145
13,0,0.013289167894076193
13,1,0.3872754333385532
13,2,0.9578336349474882
13,3,0.31036871955355316
13,33,0.6005229807266618
14,32,0.9136895528141963
14,33,0.9916537416073502
15,32,0.6545105467003488
15,33,0.9800287526823462
16,5,0.04741864814159913
16,6,0.6713750607977357
17,0,0.7191037472412372
17,1,0.5558400878076977
18,32,0.38820089226882726
18,33,0.2934673011034855
19,0,0.2077772246195536
19,1,0.0057249856686649725
19,33,0.299225780437541
20,32,0.8579178513593114
20,33,0.10520045976959214
21,0,0.13170697848617807
21,1,0.8669692007795319
22,32,0.22966347999126957
22,33,0.16044113896869416
23,25,0.07490070964868056
23,27,0.8304638111751781
23,29,0.5857847068937402
23,32,0.622445304250718
23,33,0.57198586721403
24,25,0.855749322640952
24,27,0.043015755033536496
24,31,0.4986029371292384
25,23,0.3251330934892831
25,24,0.3363901600379655
25,31,0.17125430156498578
26,29,0.9561721273309963
26,33,0.3599722376598946
27,2,0.0904801192580088
27,23,0.35355824981027684
27,24,0.007882777497205562
27,33,0.9786499369829066
28,2,0.33519585577807465
28,31,0.24687818648115945
28,33,0.6525389460075564
29,23,0.477676410927139
29,26,0.2313562503193478
29,32,0.6479322709581641
29,33,0.2787413199729202
30,1,0.28487348246764066
30,8,0.4230641694896342
30,32,0.013286137122267894
30,33,0.47307366935136563
31,0,0.7927380085505404
31,24,0.9382430925194636
31,25,0.33408511931612483
31,28,0.9434271469840829
31,32,0.5146918229168586
31,33,0.8111364840260138
32,2,0.5225105678384445
32,8,0.48757697983270387
32,14,0.09328733718155313
32,15,0.15339304510392215
32,18,0.0895683955532014
32,20,0.03535717465296939
32,22,0.9426050380954804
32,23,0.7184251245246639
32,29,0.5439618048684558
32,30,0.13109492142046997
32,31,0.3717139177830675
32,33,0.305230429723342
33,8,0.34532179766584103
33,9,0.04196497052832493
33,13,0.6363763984470526
33,14,0.5367874597446941
33,15,0.2862570542635432
33,18,0.8324391404660415
33,19,0.7523024744761704
33,20,0.23037874662723423
33,22,0.7690075896650814
33,23,0.014429066597070883
33,26,0.1602441805750069
33,27,0.3883105993438265
33,28,0.291340511331483
33,29,0.8517451906600535
33,30,0.982500142980333
33,31,0.33053314232631104
33,32,0.2509836615062613
